x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
19,5,22.9983,-7.55902,1.91049,1.80221,2.87731,4.69524,39.0972,39.0962
19,6,38.9592,-2.31861,3.21002,3.00633,4.83296,7.89558,66.2308,66.2256
19,7,62.7813,14.3659,5.18151,4.81199,7.82488,12.9737,106.728,106.52
19,8,92.5883,44.7115,7.53915,6.98607,11.4257,18.8925,157.397,156.642
19,9,123.579,90.1022,9.84591,9.11026,15.0044,25.3229,210.086,209.04
19,10,144.432,132.997,11.1502,10.5457,17.1239,28.6158,245.5,244.765
19,11,149.782,148.782,11.232,10.3929,17.4231,29.0898,254.622,254.531
19,12,149.999,149.961,11.119,10.2957,17.501,29.173,254.998,254.991
19,13,150,149.995,11.095,10.85,18.2754,30.0637,255,254.996
19,14,150,150,11,12,19,32,255,255
19,15,150,149.987,11.9639,11.8708,19.6025,32.2055,254.997,254.81
19,16,150,149.924,15.0563,13.4033,22.7742,37.3467,254.946,252.211
19,17,150,149.866,16.1959,15.4034,25.2242,42.3715,254.736,242.305
19,18,150,149.798,16.1963,18.6023,26.1044,45.2926,254.039,211.99
