x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
7,25,122.742,104.614,9.93512,10.0852,14.9534,24.6271,208.555,200.576
7,26,90.557,64.7447,7.45556,6.87955,11.2044,18.3766,153.943,147.359
7,27,57.3831,30.6335,4.73962,4.3591,7.0992,11.6328,97.548,96.3714
7,28,33.6323,10.9451,2.77184,2.55531,4.14789,6.79894,57.1693,57.1699
7,29,18.3741,1.78882,1.48454,1.39129,2.23377,3.65485,31.2319,31.2254
8,0,-1.08547,4.83149,0.384056,0.361544,0.605129,0.967626,0.493689,6.38724
8,1,-0.673499,8.84386,0.697087,0.659232,1.1091,1.78553,0.883438,10.7161
8,2,0.285249,15.893,1.2717,1.21259,2.0355,4.39829,1.78531,18.9581
8,3,2.04196,26.1679,2.21993,3.68475,3.52782,8.83292,2.86096,31.3361
8,4,6.45931,42.4553,3.63786,6.01766,5.80107,16.926,9.15679,52.1235
8,5,14.8415,65.5182,5.60577,11.7347,8.97961,25.3089,23.2806,78.6059
8,6,24.657,91.1344,7.845,15.8759,12.5285,34.3388,40.4385,106.819
8,7,32.9546,112.861,9.75672,19.965,15.5626,42.7355,54.164,132.467
8,8,42.9203,128.871,11.2745,24.043,17.9784,50.2902,67.6449,151.385
8,9,57.0764,139.003,12.345,28.6831,19.7414,57.4013,83.2248,162.539
8,10,76.5685,144.6,13.1671,34.6298,21.1466,64.619,104.623,169.034
8,11,98.5802,147.369,13.842,41.936,22.3285,71.0546,133.07,174.76
8,12,118.462,148.478,14.3775,49.2638,23.2615,74.3387,165.835,182.287
8,13,133.06,148.782,14.7981,53.9587,23.9074,72.4616,197.098,191.969
8,14,142.074,148.976,15.23,52.8706,24.3224,65.6125,222.09,203.403
8,15,146.858,149.221,15.8589,44.5313,24.634,56.3896,239.156,216.295
8,16,149,149.487,16.7453,32.1519,24.9176,48.2888,248.879,229.717
8,17,149.747,149.688,17.6204,22.1301,25.0145,43.2622,253.115,241.055
8,18,149.936,149.766,17.3469,16.9948,24.226,40.005,254.419,247.68
8,19,149.98,149.763,14.6538,13.999,21.6953,35.6554,254.785,251.045
8,20,150,149.795,12.449,12.1205,19.3948,31.9175,254.938,253.356
8,21,150,149.8,11.774,11.1653,18.0232,29.5477,254.984,254.354
8,22,150,149.829,11.6924,10.9586,17.2761,28.3639,254.995,254.781
8,23,149.892,148.887,11.6262,10.9259,17.4011,28.6554,254.8,254.307
8,24,146.757,139.349,11.5268,11.0788,17.3151,28.6671,249.417,247.215
8,25,130.892,108.193,10.5197,10.5659,15.8303,26.0717,222.425,217.201
8,26,100.533,65.1851,8.25388,7.60342,12.3901,20.3283,170.904,165.823
8,27,66.4675,28.8566,5.49609,5.05634,8.21929,13.474,112.995,112.02
8,28,40.2495,8.17454,3.33536,3.07294,4.98289,8.15341,68.4227,68.4194
8,29,22.6458,-0.853767,1.84801,1.72803,2.77167,4.53449,38.4982,38.4989
9,0,-1.78066,5.38571,0.429813,0.405921,0.671402,1.0774,0.535749,7.79831
9,1,-2.05576,9.73174,0.777988,0.734247,1.23597,1.9791,0.94186,13.3217
9,2,-2.08217,17.6415,1.43602,1.37993,2.28209,5.14243,1.9762,24.0522
9,3,-1.92472,29.467,2.5491,4.4374,4.03138,10.5664,3.20145,40.6592
9,4,-0.160407,48.2397,4.21859,7.2513,6.67455,20.2162,10.2646,68.1746
9,5,2.9844,73.7808,6.42543,13.7512,10.2164,29.9603,24.0243,103.626
9,6,4.14447,100.96,8.81528,18.2607,13.9588,39.997,38.7695,141.694
9,7,1.59724,122.725,10.7248,22.3921,16.9383,48.7786,48.6217,175.751
9,8,1.69785,136.667,12.0635,26.3871,19.0302,56.4344,56.9249,199.302
9,9,12.457,143.808,12.9549,31.8093,20.5272,65.1745,68.0128,211.292
9,10,38.5857,147.012,13.7593,40.6178,22.0176,77.1579,87.8434,215.939
9,11,73.7711,148.405,14.5297,53.1291,23.5561,90.3191,117.909,218.409
9,12,105.962,148.862,15.0803,66.9945,24.7868,98.5145,153.809,222.049
9,13,128.072,148.886,15.3297,78.0663,25.476,96.7953,188.428,227.341
9,14,140.426,148.965,15.4761,80.6922,25.7024,85.3735,216.458,233.33
9,15,146.395,149.145,15.9044,69.071,25.732,69.1549,236.062,239.441
9,16,148.938,149.407,16.8541,45.9149,25.8701,54.5594,247.84,245.648
9,17,149.785,149.669,18.1676,26.2133,26.1851,46.1765,253.139,250.766
9,18,149.967,149.827,19.8999,17.8965,26.3016,42.7631,254.635,253.455
9,19,149.981,149.655,15.2866,14.8324,22.7597,37.564,254.767,253.642
9,20,150,149.703,12.2866,12.3132,19.6943,32.523,254.936,254.447
9,21,150,149.661,11.5713,11.1613,18.4095,30.0859,254.98,254.748
9,22,150,149.659,11.3058,10.5046,17.6536,29.0676,254.993,254.899
9,23,149.928,147.982,11.5003,10.7772,17.5392,28.9356,254.859,254.579
9,24,147.571,135.678,11.5617,11.1099,17.467,28.9512,250.81,249.329
9,25,134.388,100.407,10.8168,10.8721,16.2904,26.8283,228.373,224.547
9,26,106.991,55.6249,8.81013,8.10051,13.2152,21.6767,181.883,177.919
9,27,74.078,20.4523,6.15141,5.65559,9.19364,15.0621,125.927,125.136
9,28,46.7345,1.58829,3.89652,3.59123,5.80583,9.50923,79.4474,79.4443
9,29,27.3099,-5.54444,2.24549,2.09726,3.35952,5.49436,46.42,46.4165
10,0,-2.32112,5.93556,0.477707,0.45688,0.754616,1.20584,0.570334,9.11519
10,1,-3.12653,10.6758,0.861214,0.828309,1.36445,2.20176,1.00398,15.8278
10,2,-3.86536,19.6103,1.62317,1.57446,2.57439,5.96067,2.17459,29.0883
10,3,-4.86901,33.3247,2.93197,5.23163,4.6274,12.5002,3.58018,50.0828
10,4,-5.24493,55.0753,4.88523,8.54471,7.7124,23.7085,11.2375,84.3971
10,5,-6.85974,83.7226,7.3718,15.5583,11.6762,34.6559,24.0826,128.455
10,6,-14.2432,112.78,9.88379,19.8925,15.5733,44.8623,35.2367,174.611
10,7,-28.2979,133.957,11.635,22.8256,18.2297,51.836,39.364,212.426
10,8,-39.5777,144.617,12.5327,24.8033,19.5528,56.1708,40.4534,233.989
10,9,-33.0846,148.157,13.0854,29.0583,20.495,63.8366,45.2418,241.773
10,10,2.23715,149.097,13.9565,40.0559,22.1974,81.7096,62.2052,242.884
10,11,54.5058,149.385,15.0614,58.7739,24.4583,106.525,94.2006,242.646
10,12,99.8485,149.399,15.8051,80.912,26.2463,124.448,135.497,243.617
10,13,127.642,149.267,15.8682,101.311,27.0362,124.8,176.776,245.743
10,14,141.069,149.233,15.5225,114.593,27.0559,108.416,209.988,247.976
10,15,146.604,149.205,15.4434,108.243,26.7746,85.5134,231.67,249.675
10,16,148.848,149.213,16.0523,73.9639,26.5432,64.5958,244.786,251.292
10,17,149.731,149.413,16.7587,37.0011,26.6662,50.8445,251.97,253.153
10,18,149.957,149.639,16.2127,20.0292,26.9763,46.4755,254.378,254.314
10,19,149.97,149.077,14.9505,16.6765,23.6073,39.9597,254.54,254.242
10,20,150,148.647,12.8044,13.3124,20.363,33.8982,254.803,254.511
10,21,150,148.197,11.8444,11.6514,18.719,30.8815,254.926,254.722
10,22,149.995,147.096,11.5509,11.0048,17.9872,29.6882,254.947,254.78
10,23,149.801,141.107,11.6129,11.0891,17.7957,29.4658,254.597,254.203
10,24,147.153,118.253,11.6728,11.4114,17.6727,29.3982,250.08,248.627
10,25,135.511,75.9908,11.0345,11.1965,16.5998,27.3254,230.279,227.206
10,26,111.64,33.0898,9.27894,8.51346,13.8748,22.7517,189.784,186.701
10,27,81.2176,3.92411,6.79743,6.24558,10.1295,16.5922,138.073,137.442
10,28,53.6614,-9.54571,4.49941,4.15083,6.69846,10.9606,91.2208,91.2215
10,29,32.6634,-12.6414,2.71205,2.52562,4.03861,6.61102,55.5238,55.5286
11,0,-2.63173,6.37053,0.514991,0.495282,0.817985,1.30528,0.60047,10.1441
